Board Name                                       FQBN                                            
AI Thinker ESP32-CAM                             esp32:esp32:esp32cam                            
AI Thinker ESP32-CAM                             espressif:esp32:esp32cam                        
ALKS ESP32                                       espressif:esp32:alksesp32                       
ALKS ESP32                                       esp32:esp32:alksesp32                           
ATMegaZero ESP32-S2                              espressif:esp32:atmegazero_esp32s2              
ATMegaZero ESP32-S2                              esp32:esp32:atmegazero_esp32s2                  
ATtiny1634 (No bootloader)                       ATTinyCore:avr:attiny1634                       
ATtiny1634 (Optiboot)                            ATTinyCore:avr:attiny1634opti                   
ATtiny167 (Micronucleus / DigiSpark Pro)         ATTinyCore:avr:attinyx7micr                     
ATtiny167/87 (Optiboot)                          ATTinyCore:avr:attinyx7opti                     
ATtiny2313(a)/4313 (No bootloader)               ATTinyCore:avr:attinyx313                       
ATtiny24/44/84(a) (No bootloader)                ATTinyCore:avr:attinyx4                         
ATtiny25/45/85 (No bootloader)                   ATTinyCore:avr:attinyx5                         
ATtiny261/461/861(a)                             ATTinyCore:avr:attinyx61                        
ATtiny43 (No bootloader)                         ATTinyCore:avr:attiny43                         
ATtiny44/84(a) (Optiboot)                        ATTinyCore:avr:attinyx4opti                     
ATtiny441/841 (No bootloader)                    ATTinyCore:avr:attinyx41                        
ATtiny441/841 (Optiboot)                         ATTinyCore:avr:attinyx41opti                    
ATtiny45/85 (Optiboot)                           ATTinyCore:avr:attinyx5opti                     
ATtiny461/861(a) (Optiboot)                      ATTinyCore:avr:attinyx61opti                    
ATtiny48/88 (No bootloader)                      ATTinyCore:avr:attinyx8                         
ATtiny48/88 (Optiboot)                           ATTinyCore:avr:attinyx8opti                     
ATtiny828 (No bootloader)                        ATTinyCore:avr:attiny828                        
ATtiny828 (Optiboot)                             ATTinyCore:avr:attiny828opti                    
ATtiny841 (Micronucleus / Wattuino)              ATTinyCore:avr:attinyx41micr                    
ATtiny84a (Micronucleus / California STEAM)      ATTinyCore:avr:attinyx4micr                     
ATtiny85 (Micronucleus / DigiSpark)              ATTinyCore:avr:attinyx5micr                     
ATtiny87/167 (No bootloader)                     ATTinyCore:avr:attinyx7                         
ATtiny88 (Micronucleus, MH-ET t88 w/16MHz CLOCK) ATTinyCore:avr:attinyx8micr                     
Adafruit Circuit Playground                      arduino:avr:circuitplay32u4cat                  
Adafruit ESP32 Feather                           espressif:esp32:featheresp32                    
Adafruit ESP32 Feather                           esp32:esp32:featheresp32                        
Adafruit Feather ESP32-S2                        espressif:esp32:adafruit_feather_esp32s2        
